N,A,A,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
N,N,A,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N,N,N,S,N,S,S,A,S,S,S,S,S,S,S,S,S,S
N,N,N,S,N,N,N,A,S,S,S,S,S,S,S,S,S,S
N,N,N,S,N,N,N,A,S,S,S,S,S,S,S,S,S,S
N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S
N,N,N,S,N,N,N,N,N,A,A,A,S,S,S,S,S,S
N,N,N,S,N,N,N,N,N,N,S,A,S,S,S,S,S,S
N,N,N,S,N,N,N,N,N,S,N,A,S,S,S,S,S,S
N,N,N,S,N,N,N,N,N,N,N,N,S,S,S,S,S,S
N,N,N,S,N,N,N,N,N,N,N,N,N,A,A,A,S,S
N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,A,S,S
N,N,N,S,N,N,N,N,N,N,N,N,N,S,N,A,S,S
N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,A
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
